PlayerID,Hits,AB,Team
hamiljo03,186,518,TEX
cabremi01,193,555,DET
cabreme01,159,459,SFN
ramirha01,105,304,LAN
morneju01,102,296,MIN
cabremi01,197,572,DET
altuvjo01,225,660,HOU
turneju01,98,288,LAN
tulowtr01,107,315,COL
gonzaad01,213,630,BOS
cabremi01,145,429,DET
youngmi02,213,631,TEX
reyesjo01,181,537,NYN
vottojo01,126,374,CIN
poseybu01,178,530,SFN
gonzaca01,197,587,COL
martivi01,188,561,DET
gordode01,205,615,MIA
braunry02,187,563,MIL
cuddymi01,162,489,COL
harpebr03,172,521,WAS
martivi01,178,540,DET
cabremi01,205,622,DET
cabremi01,180,548,DET
parrage01,106,323,MIL
mauerjo01,167,510,MIN
brantmi02,200,611,CLE
mccutan01,194,593,PIT
troutmi01,182,559,LAA
ruizca01,121,372,PHI
keppije01,125,385,TBA
beltrad01,178,549,TEX
kempma01,195,602,LAN
mauerjo01,144,445,MIN
vottojo01,177,547,CIN
troutmi01,190,589,LAA
dirksan01,101,314,DET
colabch01,107,333,TOR
ellsbja01,212,660,BOS
beltrad01,194,604,TEX
johnsch05,165,514,ATL
goldspa01,182,567,ARI
beltrad01,189,589,BOS
lindad01,93,290,TOR
infanom01,151,471,ATL
napolmi01,118,369,TEX
bogaexa01,196,613,BOS
murphda08,125,391,NYN
lucrojo01,101,316,MIL
canoro01,200,626,NYA
