PlayerID,HR,Team
bautijo02,54,TOR
davisch02,53,BAL
davisch02,47,BAL
cruzne02,44,DET
cabremi01,44,DET
cabremi01,44,SEA
bautijo02,43,TOR
grandcu01,43,TEX
hamiljo03,43,NYA
harpebr03,42,WAS
encared01,42,SLN
pujolal01,42,COL
arenano01,42,TOR
troutmi01,41,NYA
dunnad01,41,TOR
braunry02,41,MIL
grandcu01,41,LAA
donaljo02,41,CHA
pujolal01,40,TOR
gonzaca01,40,BAL
cruzne02,40,COL
bautijo02,40,LAA
teixema01,39,LAN
encared01,39,TOR
konerpa01,39,NYA
kempma01,39,CHA
martijd02,38,DET
dunnad01,38,MIL
fieldpr01,38,DET
cabremi01,38,WAS
reynoma01,37,CIN
stantmi03,37,SLN
cartech02,37,MIA
pujolal01,37,BAL
stantmi03,37,MIA
ortizda01,37,BOS
vottojo01,37,HOU
ugglada01,36,LAA
alvarpe01,36,ARI
beltrad01,36,TEX
encared01,36,TOR
abreujo02,36,ATL
troutmi01,36,CHA
goldspa01,36,PIT
machama01,35,BAL
frazito01,35,TOR
bautijo02,35,MIN
ortizda01,35,CIN
willijo03,35,BOS
gonzaca01,34,COL
