PlayerID,RBI,Team
cabremi01,139,DET
davisch02,138,BAL
cabremi01,137,DET
arenano01,130,COL
hamiljo03,128,TEX
kempma01,126,LAN
cabremi01,126,DET
goldspa01,125,ARI
rodrial01,125,NYA
bautijo02,124,TOR
donaljo02,123,TOR
fieldpr01,120,MIL
grandcu01,119,NYA
pujolal01,118,SLN
canoro01,118,NYA
davisch02,117,BAL
gonzaca01,117,COL
gonzaad01,117,BOS
howarry01,116,PHI
gonzaad01,116,LAN
headlch01,115,SDN
guerrvl01,115,TEX
bautijo02,114,TOR
vottojo01,113,CIN
braunry02,112,MIL
youngde03,112,MIN
teixema01,111,TOR
encared01,111,NYA
konerpa01,111,CHA
troutmi01,111,LAA
braunry02,111,MIL
encared01,110,TOR
willijo03,110,MIN
goldspa01,110,ARI
bruceja01,109,CIN
canoro01,109,NYA
cabremi01,109,DET
freemfr01,109,ATL
cruzne02,108,BAL
ortizda01,108,BOS
jonesad01,108,NYA
teixema01,108,BAL
soriaal01,108,CHN
howarry01,108,PHI
fieldpr01,108,DET
abreujo02,107,CHA
butlebi03,107,KCA
canoro01,107,NYA
grandcu01,106,NYA
fieldpr01,106,DET
