playerID,yearID,teamID,G,AB,R,H,Doubles,Triples,HR,RBI,SB,SO,Walks HBP,AVG,OBP,SLG,OPS
hamiljo03,2010,TEX,133,518,95,186,40,3,32,100,8,95,53,0.359,0.461,0.633,1.095
cabremi01,2013,DET,148,555,103,193,26,1,44,137,3,94,114,0.348,0.553,0.636,1.189
cabreme01,2012,SFN,113,459,84,159,25,10,11,60,13,63,40,0.346,0.434,0.516,0.950
ramirha01,2013,LAN,86,304,62,105,25,2,20,57,10,52,33,0.345,0.454,0.638,1.092
morneju01,2010,MIN,81,296,53,102,25,1,18,56,0,62,57,0.345,0.537,0.618,1.155
cabremi01,2011,DET,161,572,111,197,48,0,30,105,2,89,133,0.344,0.577,0.586,1.163
altuvjo01,2014,HOU,158,660,85,225,47,3,7,59,56,53,48,0.341,0.414,0.453,0.867
turneju01,2014,LAN,109,288,46,98,21,1,7,43,6,58,33,0.340,0.455,0.493,0.948
tulowtr01,2014,COL,91,315,71,107,18,1,21,52,1,57,59,0.340,0.527,0.603,1.130
gonzaad01,2011,BOS,159,630,108,213,45,3,27,117,1,119,100,0.338,0.497,0.548,1.044
cabremi01,2015,DET,119,429,64,145,28,1,18,76,1,82,95,0.338,0.559,0.534,1.093
youngmi02,2011,TEX,159,631,88,213,41,6,11,106,6,78,56,0.338,0.426,0.474,0.900
reyesjo01,2011,NYN,126,537,101,181,31,16,7,44,39,41,52,0.337,0.434,0.493,0.927
vottojo01,2012,CIN,111,374,59,126,44,0,14,56,5,85,117,0.337,0.650,0.567,1.217
poseybu01,2012,SFN,148,530,78,178,39,1,24,103,1,96,78,0.336,0.483,0.549,1.032
gonzaca01,2010,COL,145,587,111,197,34,9,34,117,26,135,50,0.336,0.421,0.598,1.019
martivi01,2014,DET,151,561,87,188,33,0,32,103,3,42,102,0.335,0.517,0.565,1.082
gordode01,2015,MIA,145,615,88,205,24,8,4,46,58,91,29,0.333,0.380,0.418,0.798
braunry02,2011,MIL,150,563,109,187,38,6,33,111,33,93,65,0.332,0.448,0.597,1.044
cuddymi01,2013,COL,130,489,74,162,31,3,20,84,10,100,53,0.331,0.440,0.530,0.969
harpebr03,2015,WAS,153,521,118,172,38,1,42,99,6,131,144,0.330,0.607,0.649,1.255
martivi01,2011,DET,145,540,76,178,40,0,12,103,1,51,54,0.330,0.430,0.470,0.900
cabremi01,2012,DET,161,622,109,205,40,0,44,139,4,98,86,0.330,0.468,0.606,1.074
cabremi01,2010,DET,150,548,111,180,45,1,38,126,3,95,124,0.328,0.555,0.622,1.177
parrage01,2015,MIL,100,323,53,106,24,5,9,31,9,57,25,0.328,0.406,0.517,0.923
mauerjo01,2010,MIN,137,510,88,167,43,1,9,75,1,53,82,0.327,0.488,0.469,0.957
brantmi02,2014,CLE,156,611,94,200,45,2,20,97,23,56,64,0.327,0.432,0.506,0.938
mccutan01,2012,PIT,157,593,107,194,29,6,31,96,20,132,88,0.327,0.476,0.553,1.029
troutmi01,2012,LAA,139,559,129,182,27,8,30,83,49,139,77,0.326,0.463,0.564,1.027
ruizca01,2012,PHI,114,372,56,121,32,0,16,68,4,50,51,0.325,0.462,0.540,1.003
keppije01,2012,TBA,115,385,46,125,15,1,9,40,1,31,28,0.325,0.397,0.439,0.836
beltrad01,2014,TEX,148,549,79,178,33,1,19,77,1,74,73,0.324,0.457,0.492,0.949
kempma01,2011,LAN,161,602,115,195,33,4,39,126,40,159,104,0.324,0.497,0.586,1.083
mauerjo01,2013,MIN,113,445,62,144,35,0,11,47,0,89,68,0.324,0.476,0.476,0.953
vottojo01,2010,CIN,150,547,106,177,36,2,37,113,16,125,106,0.324,0.517,0.600,1.117
troutmi01,2013,LAA,157,589,109,190,39,9,27,97,33,136,129,0.323,0.542,0.557,1.098
dirksan01,2012,DET,88,314,56,101,18,5,8,35,1,53,27,0.322,0.408,0.487,0.895
colabch01,2015,TOR,101,333,55,107,19,1,15,54,2,96,25,0.321,0.396,0.520,0.916
ellsbja01,2011,BOS,158,660,119,212,46,5,32,105,39,98,62,0.321,0.415,0.552,0.967
beltrad01,2012,TEX,156,604,95,194,33,2,36,102,1,82,49,0.321,0.402,0.561,0.964
johnsch05,2013,ATL,142,514,54,165,34,0,12,68,0,116,36,0.321,0.391,0.457,0.848
goldspa01,2015,ARI,159,567,103,182,38,2,33,110,21,151,149,0.321,0.584,0.570,1.153
beltrad01,2010,BOS,154,589,84,189,49,2,28,102,2,82,55,0.321,0.414,0.553,0.968
lindad01,2014,TOR,96,290,38,93,24,2,6,40,0,48,31,0.321,0.428,0.479,0.907
infanom01,2010,ATL,134,471,65,151,15,3,8,47,7,62,30,0.321,0.384,0.416,0.800
napolmi01,2011,TEX,113,369,72,118,25,0,30,75,4,85,63,0.320,0.491,0.631,1.122
bogaexa01,2015,BOS,156,613,84,196,35,3,7,81,10,101,36,0.320,0.378,0.421,0.799
murphda08,2011,NYN,109,391,49,125,28,2,6,49,5,42,29,0.320,0.394,0.448,0.841
lucrojo01,2012,MIL,96,316,46,101,17,4,12,58,4,44,27,0.320,0.405,0.513,0.918
canoro01,2010,NYA,160,626,103,200,41,3,29,109,3,77,79,0.319,0.446,0.534,0.979
freemfr01,2013,ATL,147,551,89,176,27,2,23,109,1,121,83,0.319,0.470,0.501,0.971
braunry02,2012,MIL,154,598,108,191,36,3,41,112,30,128,89,0.319,0.468,0.595,1.064
puigya01,2013,LAN,104,382,66,122,21,2,19,42,11,97,53,0.319,0.458,0.534,0.992
mauerjo01,2012,MIN,147,545,81,174,31,4,10,85,8,88,102,0.319,0.506,0.446,0.952
molinya01,2013,SLN,136,505,68,161,44,0,12,80,3,55,37,0.319,0.392,0.477,0.869
morneju01,2014,COL,135,502,62,160,32,3,17,82,0,60,44,0.319,0.406,0.496,0.902
santada01,2014,MIN,101,405,70,129,27,7,7,40,20,98,22,0.319,0.373,0.472,0.844
cruzne02,2010,TEX,108,399,60,127,31,3,22,78,17,81,44,0.318,0.429,0.576,1.005
werthja01,2013,WAS,129,462,84,147,24,0,25,82,10,101,68,0.318,0.465,0.532,0.998
dejesda01,2010,KCA,91,352,46,112,23,3,5,37,3,47,40,0.318,0.432,0.443,0.875
ortizda01,2012,BOS,90,324,65,103,26,0,23,60,0,51,69,0.318,0.531,0.611,1.142
carpema01,2013,SLN,157,626,126,199,55,7,11,78,3,98,82,0.318,0.449,0.481,0.930
infanom01,2013,DET,118,453,54,144,24,3,10,51,5,44,21,0.318,0.364,0.450,0.815
poseybu01,2015,SFN,150,557,74,177,28,0,19,95,2,52,69,0.318,0.442,0.470,0.912
butlebi03,2010,KCA,158,595,77,189,45,0,15,78,0,78,82,0.318,0.455,0.469,0.924
mccutan01,2013,PIT,157,583,97,185,38,5,21,84,27,101,99,0.317,0.487,0.508,0.995
abreujo02,2014,CHA,145,556,80,176,35,2,36,107,3,131,77,0.317,0.455,0.581,1.036
jeterde01,2012,NYA,159,683,99,216,32,0,15,58,9,90,51,0.316,0.391,0.429,0.820
younger03,2012,COL,98,174,36,55,7,2,4,15,14,31,17,0.316,0.414,0.448,0.862
harrijo05,2014,PIT,143,520,77,164,38,7,13,52,18,81,27,0.315,0.367,0.490,0.858
beltrad01,2013,TEX,161,631,88,199,32,0,30,92,1,78,69,0.315,0.425,0.509,0.933
polloaj01,2015,ARI,157,609,111,192,39,6,20,76,39,89,55,0.315,0.406,0.498,0.903
martijd02,2014,DET,123,441,57,139,30,3,23,76,6,126,38,0.315,0.401,0.553,0.955
craigal01,2013,SLN,134,508,71,160,29,2,13,97,2,100,52,0.315,0.417,0.457,0.874
tulowtr01,2010,COL,122,470,89,148,32,3,27,95,11,78,57,0.315,0.436,0.568,1.004
molinya01,2012,SLN,138,505,65,159,28,0,22,76,12,55,54,0.315,0.422,0.501,0.923
suzukic01,2010,SEA,162,680,74,214,30,3,6,43,42,86,61,0.315,0.404,0.394,0.799
sandopa01,2011,SFN,117,426,55,134,26,3,23,70,2,63,41,0.315,0.411,0.552,0.962
canoro01,2014,SEA,157,595,77,187,37,2,14,82,10,68,87,0.314,0.461,0.454,0.914
canoro01,2013,NYA,160,605,81,190,41,0,27,107,7,85,87,0.314,0.458,0.516,0.974
escobyu01,2015,WAS,139,535,75,168,25,1,9,56,2,70,53,0.314,0.413,0.415,0.828
mccutan01,2014,PIT,146,548,89,172,38,6,25,83,18,115,102,0.314,0.500,0.542,1.042
vottojo01,2015,CIN,158,545,95,171,33,2,29,80,11,135,163,0.314,0.613,0.541,1.154
altuvjo01,2015,HOU,154,638,86,200,40,4,15,66,38,67,50,0.313,0.392,0.459,0.851
fieldpr01,2012,DET,162,581,83,182,33,1,30,108,1,84,120,0.313,0.520,0.528,1.048
lindofr01,2015,CLE,99,390,50,122,22,4,12,51,12,69,28,0.313,0.385,0.482,0.867
